GEOID,count,rate,total_pop,total_pop_moe
29510101100,10,3.85951370127364,2591,267
29510101200,40,12.213740458015266,3275,253
29510101300,65,16.08910891089109,4040,352
29510101400,32,11.636363636363635,2750,247
29510101500,41,10.872447626624238,3771,570
29510101800,34,9.849362688296639,3452,468
29510102100,28,9.992862241256246,2802,287
29510102200,63,9.894769907334695,6367,351
29510102300,13,6.542526421741319,1987,218
29510102400,30,11.223344556677889,2673,205
29510102500,14,6.903353057199211,2028,199
29510103100,30,9.316770186335404,3220,255
29510103400,14,7.470651013874066,1874,121
29510103600,10,6.906077348066298,1448,155
29510103700,19,7.8903654485049834,2408,274
29510103800,28,7.1758072783188105,3902,279
29510104200,24,6.986899563318778,3435,282
29510104500,11,6.88791484032561,1597,262
29510105198,NA,NA,3483,337
29510105200,55,18.474974806852536,2977,265
29510105300,12,4.8979591836734695,2450,359
29510105400,15,6.418485237483954,2337,322
29510105500,35,11.693952555963916,2993,384
29510106100,27,15.661252900232018,1724,240
29510106200,14,7.671232876712328,1825,325
29510106300,19,13.058419243986254,1455,236
29510106400,38,15.541922290388548,2445,370
29510106500,38,13.32398316970547,2852,364
29510106600,20,11.702750146284377,1709,270
29510106700,33,11.14864864864865,2960,558
29510107200,23,19.896193771626297,1156,212
29510107300,19,4.064171122994653,4675,492
29510107400,38,12.803234501347708,2968,426
29510107500,35,14.462809917355372,2420,358
29510107600,47,21.392808375056894,2197,238
29510108100,52,16.53944020356234,3144,464
29510108200,27,10.782747603833865,2504,358
29510108300,18,9.058882737795672,1987,215
29510109600,40,12.414649286157667,3222,555
29510109700,48,21.438142027690933,2239,357
29510110100,50,17.36714136853074,2879,387
29510110200,28,12.126461671719358,2309,444
29510110300,26,13.21138211382114,1968,356
29510110400,24,11.178388448998604,2147,357
29510110500,35,34.550839091806516,1013,155
29510111100,23,12.679162072767364,1814,307
29510111200,37,36.23898139079334,1021,221
29510111300,23,17.062314540059347,1348,213
29510111400,10,7.163323782234958,1396,379
29510111500,10,16.129032258064516,620,94
29510112100,39,8.799638989169676,4432,508
29510112200,14,8.51063829787234,1645,238
29510112300,29,14.229636898920509,2038,409
29510112400,23,5.566311713455953,4132,336
29510113500,22,9.861048857014792,2231,164
29510114101,17,3.922473465620674,4334,424
29510114102,27,6.746626686656672,4002,264
29510114200,55,11.642675698560543,4724,391
29510114300,40,7.547169811320755,5300,386
29510115100,41,9.701845716990062,4226,444
29510115200,37,11.051373954599763,3348,379
